proyecto,fecha,titulo,estado,proponente,autores
12888/2025-CR,17/10/2025,PROYECTO DE LEY QUE ESTABLECE LA EQUIDAD EN LA ASIGNACIÓN DE AGUINALDOS Y BONIFICACIÓN POR ESCOLARIDAD PARA LOS TRABAJADORES DEL SECTOR PÚBLICO,E,P,"Montalvo Cubas, Segundo Toribio, Cruz Mamani, Flavio, Agüero Gutiérrez, María Antonieta ver más..."
12887/2025-CR,17/10/2025,PROYECTO DE LEY QUE MODIFICA EL CÓDIGO PROCESAL PENAL E INCORPORA EL PROCESO ESPECIAL CÉLERE PARA LOS DELITOS DE EXTORSIÓN Y SICARIATO,E,P,"Chacón Trujillo, Nilza Merly, Revilla Villanueva, César Manuel, Moyano Delgado, Martha Lupe ver más..."
12886/2025-CR,17/10/2025,PROYECTO DE LEY QUE ESTABLECE LOS LINEAMIENTOS DE EDUCACIÓN SEXUAL PARA LA EDUCACIÓN BÁSICA,E,P,"Medina Minaya, Esdras Ricardo, Jáuregui Martínez de Aguayo, María de los Milagros Jackeline, Chirinos Venegas, Patricia Rosa ver más..."
12885/2025-CR,17/10/2025,"PROYECTO DE LEY QUE MODIFICA LA LEY 27688, LEY DE ZONA FRANCA Y ZONA COMERCIAL DE TACNA, PARA ZONA DE EXTENSIÓN EN EL DISTRITO DE LA YARADA-LOS PALOS, PROVINCIA Y DEPARTAMENTO DE TACNA",E,P,"López Ureña, Ilich Fredy, Martínez Talavera, Pedro Edwin, Alva Rojas, Carlos Enrique ver más..."
12884/2025-CR,17/10/2025,"PROYECTO DE LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL EL RECONOCIMIENTO COMO PATRIMONIO CULTURAL DE LA NACIÓN A LA FESTIVIDAD RITUAL “WAKATAKI-TORIL GRAUINO” DE LA PROVINCIA DE GRAU, DEL DEPARTAMENTO DE APURÍMAC",E,P,"Taipe Coronado, María Elizabeth, Cruz Mamani, Flavio, Mita Alanoca, Isaac ver más..."
12883/2025-CR,17/10/2025,"PROYECTO DE LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CREACIÓN DEL INSTITUTO SUPERIOR PÚBLICO TECNOLÓGICO DE COYLLURQUI, UBICADO EN EL DISTRITO DE COYLLURQUI, PROVINCIA DE COTABAMBAS, DEPARTAMENTO DE APURÍMAC",E,P,"Taipe Coronado, María Elizabeth, Cruz Mamani, Flavio, Mita Alanoca, Isaac ver más..."
12882/2025-CR,17/10/2025,PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA PRESERVACIÓN Y DIFUSIÓN DEL ZAPATEO AFROPERUANO Y RECONOCE A SUS INICIADORES HISTÓRICOS,E,P,"Paredes Piqué, Susel Ana María, Reymundo Mercado, Edgard Cornelio, Bazán Narro, Sigrid Tesoro ver más..."
12881/2025-CR,17/10/2025,"PROYECTO DE LEY QUE ESTABLECE ACCIONES PARA LA RECUPERACIÓN, REMEDIACIÓN Y CONSERVACIÓN ECOLÓGICA DE LA LAGUNA DE PACUCHA, ASÍ COMO SU PROMOCIÓN TURÍSTICA, UBICADA EN EL DISTRITO DE PACUCHA, DE LA PROVINCIA DE ANDAHUAYLAS, DEL DEPARTAMENTO DE APURÍMAC",E,P,"Taipe Coronado, María Elizabeth, Cruz Mamani, Flavio, Mita Alanoca, Isaac ver más..."
12880/2025-CR,17/10/2025,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN E IMPLEMENTACIÓN DEL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PÚBLICO DE PAMPACHIRI DEL DISTRITO DE PAMPACHIRI, DE LA PROVINCIA DE ANDAHUAYLAS DEL DEPARTAMENTO DE APURÍMAC",E,P,"Taipe Coronado, María Elizabeth, Cruz Mamani, Flavio, Mita Alanoca, Isaac ver más..."
12879/2025-CR,17/10/2025,"PROYECTO DE LEY QUE DISPONE LA INCORPORACIÓN DEL PERSONAL DE LA EMPRESA DE SEGURIDAD, VIGILANCIA Y CONTROL - ESVICSAC A ESSALUD BAJO EL RÉGIMEN DEL DECRETO LEGISLATIVO 728",E,P,"Taipe Coronado, María Elizabeth, Cruz Mamani, Flavio, Mita Alanoca, Isaac ver más..."
