proyecto,fecha,titulo,estado,proponente,autores,fecha_limpia,proyecto_limpio,titulo_limpio,partido_politico,autores_limpios,num_autores,tipo_proyecto,region,fecha_datetime,año,mes,dia_semana,estado_limpio
12857/2025-CR,17/10/2025,PROYECTO DE LEY QUE MODIFICA LA LEY 27972 LEY ORGÁNICA DE MUNICIPALIDADES Y EXONERA EL PAGO DE ARBITRIOS MUNICIPALES A LAS INSTITUCIONES EDUCATIVAS PÚBLICAS,E,P,"Cruz Mamani, Flavio, Montalvo Cubas, Segundo Toribio, Mita Alanoca, Isaac ver más...",17/10/2025,12857/2025-CR,PROYECTO DE LEY QUE MODIFICA LA LEY 27972 LEY ORGÁNICA DE MUNICIPALIDADES Y EXONERA EL PAGO DE ARBITRIOS MUNICIPALES A LAS INSTITUCIONES EDUCATIVAS PÚBLICAS,DESCONOCIDO,"['Cruz Mamani', 'Flavio', 'Montalvo Cubas', 'Segundo Toribio', 'Mita Alanoca', 'Isaac']",6,OTROS,ICA,2025-10-17,2025,10,Friday,E
12856/2025-CR,17/10/2025,PROYECTO DE LEY QUE MODIFICA EL DECRETO LEGISLATIVO 1280 PARA GARANTIZAR EL DERECHO HUMANO AL AGUA POTABLE Y SANEAMIENTO DIGNO EN COMUNIDADES RURALES MEDIANTE EL USO DE TECNOLOGÍAS SOSTENIBLES,E,P,"Cruz Mamani, Flavio, Mita Alanoca, Isaac, Montalvo Cubas, Segundo Toribio ver más...",17/10/2025,12856/2025-CR,PROYECTO DE LEY QUE MODIFICA EL DECRETO LEGISLATIVO 1280 PARA GARANTIZAR EL DERECHO HUMANO AL AGUA POTABLE Y SANEAMIENTO DIGNO EN COMUNIDADES RURALES MEDIANTE EL USO DE TECNOLOGÍAS SOSTENIBLES,DESCONOCIDO,"['Cruz Mamani', 'Flavio', 'Mita Alanoca', 'Isaac', 'Montalvo Cubas', 'Segundo Toribio']",6,OTROS,ICA,2025-10-17,2025,10,Friday,E
12855/2025-GL,17/10/2025,"PROYECTO DE LEY QUE MODIFICA LA LEY 14702, DEL 14 DE NOVIEMBRE DE 1963, RESPECTO A LA FECHA OFICIAL DE FUNDACIÓN DEL PUERTO FLUVIAL DE IQUITOS, SOBRE EL RÍO AMAZONAS",E,P,,17/10/2025,12855/2025-GL,"PROYECTO DE LEY QUE MODIFICA LA LEY 14702, DEL 14 DE NOVIEMBRE DE 1963, RESPECTO A LA FECHA OFICIAL DE FUNDACIÓN DEL PUERTO FLUVIAL DE IQUITOS, SOBRE EL RÍO AMAZONAS",,[],0,OTROS,ICA,2025-10-17,2025,10,Friday,E
12854/2025-CR,17/10/2025,PROYECTO DE LEY QUE MODIFICA LA LEY ORGÁNICA DEL PODER JUDICIAL PARA LA CREACIÓN DE JUZGADOS AMBIENTALES ESPECIALIZADOS,E,P,"Cruz Mamani, Flavio, Mita Alanoca, Isaac, Montalvo Cubas, Segundo Toribio ver más...",17/10/2025,12854/2025-CR,PROYECTO DE LEY QUE MODIFICA LA LEY ORGÁNICA DEL PODER JUDICIAL PARA LA CREACIÓN DE JUZGADOS AMBIENTALES ESPECIALIZADOS,DESCONOCIDO,"['Cruz Mamani', 'Flavio', 'Mita Alanoca', 'Isaac', 'Montalvo Cubas', 'Segundo Toribio']",6,AMBIENTE,ICA,2025-10-17,2025,10,Friday,E
12853/2025-CR,17/10/2025,PROYECTO DE LEY DE BONIFICACIÓN POR PUESTO DE SALUD PÚBLICA DEL PERSONAL TÉCNICO Y AUXILIAR ASISTENCIAL DE LA SALUD,E,P,"Martínez Talavera, Pedro Edwin, Mori Celis, Juan Carlos, Alva Rojas, Carlos Enrique ver más...",17/10/2025,12853/2025-CR,PROYECTO DE LEY DE BONIFICACIÓN POR PUESTO DE SALUD PÚBLICA DEL PERSONAL TÉCNICO Y AUXILIAR ASISTENCIAL DE LA SALUD,DESCONOCIDO,"['Martínez Talavera', 'Pedro Edwin', 'Mori Celis', 'Juan Carlos', 'Alva Rojas', 'Carlos Enrique']",6,SALUD,ICA,2025-10-17,2025,10,Friday,E
12852/2025-SBS,17/10/2025,PROYECTO DE LEY QUE MODIFICA EL DECRETO SUPREMO 157-90-EF QUE NORMA EL FUNCIONAMIENTO EN EL PAÍS DE LAS CAJAS MUNICIPALES DE AHORRO Y CRÉDITO,E,P,,17/10/2025,12852/2025-SBS,PROYECTO DE LEY QUE MODIFICA EL DECRETO SUPREMO 157-90-EF QUE NORMA EL FUNCIONAMIENTO EN EL PAÍS DE LAS CAJAS MUNICIPALES DE AHORRO Y CRÉDITO,,[],0,OTROS,ICA,2025-10-17,2025,10,Friday,E
12851/2025-CR,17/10/2025,PROYECTO DE LEY QUE DECLARA EL 30 DE MAYO DE TODOS LOS AÑOS COMO EL DÍA NACIONAL DE ACCIÓN PARA LA DETECCIÓN TEMPRANA DE LA ESCLEROSIS MÚLTIPLE,E,P,"Reymundo Mercado, Edgard Cornelio, Luque Ibarra, Ruth, Bazán Narro, Sigrid Tesoro ver más...",17/10/2025,12851/2025-CR,PROYECTO DE LEY QUE DECLARA EL 30 DE MAYO DE TODOS LOS AÑOS COMO EL DÍA NACIONAL DE ACCIÓN PARA LA DETECCIÓN TEMPRANA DE LA ESCLEROSIS MÚLTIPLE,DESCONOCIDO,"['Reymundo Mercado', 'Edgard Cornelio', 'Luque Ibarra', 'Ruth', 'Bazán Narro', 'Sigrid Tesoro']",6,OTROS,,2025-10-17,2025,10,Friday,E
12850/2025-CR,17/10/2025,PROYECTO DE LEY QUE PROMUEVE LA FORMALIZACIÓN DE LAS MICRO Y PEQUEÑAS EMPRESAS A PARTIR DE LA CONSTITUCIÓN DE LA VENTANILLA ÚNICA,E,P,"Reymundo Mercado, Edgard Cornelio, Bazán Narro, Sigrid Tesoro, Luque Ibarra, Ruth ver más...",17/10/2025,12850/2025-CR,PROYECTO DE LEY QUE PROMUEVE LA FORMALIZACIÓN DE LAS MICRO Y PEQUEÑAS EMPRESAS A PARTIR DE LA CONSTITUCIÓN DE LA VENTANILLA ÚNICA,DESCONOCIDO,"['Reymundo Mercado', 'Edgard Cornelio', 'Bazán Narro', 'Sigrid Tesoro', 'Luque Ibarra', 'Ruth']",6,OTROS,ICA,2025-10-17,2025,10,Friday,E
12849/2025-CR,17/10/2025,"PROYECTO DE LEY QUE MODIFICA LA SEXTA DISPOSICIÓN COMPLEMENTARIA FINAL DEL DECRETO LEGISLATIVO 1267 Y AUTORIZA A LOS EFECTIVOS DE LA POLICÍA NACIONAL DEL PERÚ (PNP) A REALIZAR SERVICIOS POLICIALES EXTRAORDINARIOS EN SUS DÍAS DE VACACIONES, PERMISO O FRANCO, DE MANERA VOLUNTARIA Y REGULADA",E,P,"Arriola Tueros, José Alberto, Calle Lobatón, Digna, Juárez Calle, Heidy Lisbeth ver más...",17/10/2025,12849/2025-CR,"PROYECTO DE LEY QUE MODIFICA LA SEXTA DISPOSICIÓN COMPLEMENTARIA FINAL DEL DECRETO LEGISLATIVO 1267 Y AUTORIZA A LOS EFECTIVOS DE LA POLICÍA NACIONAL DEL PERÚ (PNP) A REALIZAR SERVICIOS POLICIALES EXTRAORDINARIOS EN SUS DÍAS DE VACACIONES, PERMISO O FRANCO, DE MANERA VOLUNTARIA Y REGULADA",DESCONOCIDO,"['Arriola Tueros', 'José Alberto', 'Calle Lobatón', 'Digna', 'Juárez Calle', 'Heidy Lisbeth']",6,SEGURIDAD,ICA,2025-10-17,2025,10,Friday,E
12848/2025-CR,17/10/2025,"PROYECTO DE LEY QUE AUTORIZA EL NOMBRAMIENTO EXCEPCIONAL, DE LOS PROFESIONALES DE LA SALUD, TÉCNICOS Y AUXILIARES ASISTENCIALES DEL MINISTERIO DE DEFENSA, SUS ORGANISMOS, EJERCITO DEL PERÚ, MARINA DE GUERRA Y FUERZA AÉREA, CONTRATADOS HASTA DICIEMBRE DEL AÑO 2024, BAJO EL RÉGIMEN DEL DECRETO LEGISLATIVO 1057- CAS",E,P,"Arriola Tueros, José Alberto, Calle Lobatón, Digna, Juárez Calle, Heidy Lisbeth ver más...",17/10/2025,12848/2025-CR,"PROYECTO DE LEY QUE AUTORIZA EL NOMBRAMIENTO EXCEPCIONAL, DE LOS PROFESIONALES DE LA SALUD, TÉCNICOS Y AUXILIARES ASISTENCIALES DEL MINISTERIO DE DEFENSA, SUS ORGANISMOS, EJERCITO DEL PERÚ, MARINA DE GUERRA Y FUERZA AÉREA, CONTRATADOS HASTA DICIEMBRE DEL AÑO 2024, BAJO EL RÉGIMEN DEL DECRETO LEGISLATIVO 1057- CAS",DESCONOCIDO,"['Arriola Tueros', 'José Alberto', 'Calle Lobatón', 'Digna', 'Juárez Calle', 'Heidy Lisbeth']",6,SALUD,,2025-10-17,2025,10,Friday,E
12847/2025-CR,17/10/2025,"PROYECTO DE LEY QUE ESTABLECE UN NUEVO PLAZO PARA LA PRESENTACIÓN DE SOLICITUDES DE RECONOCIMIENTO COMO DEFENSORES DE LA PATRIA A FAVOR DEL PERSONAL MILITAR, POLICIAL Y CIVIL QUE PARTICIPÓ EN LOS CONFLICTOS ARMADOS CON EL ECUADOR EN LOS AÑOS 1978, 1981 Y 1995",E,P,"Arriola Tueros, José Alberto, Calle Lobatón, Digna, Paredes Castro, Francis Jhasmina ver más...",17/10/2025,12847/2025-CR,"PROYECTO DE LEY QUE ESTABLECE UN NUEVO PLAZO PARA LA PRESENTACIÓN DE SOLICITUDES DE RECONOCIMIENTO COMO DEFENSORES DE LA PATRIA A FAVOR DEL PERSONAL MILITAR, POLICIAL Y CIVIL QUE PARTICIPÓ EN LOS CONFLICTOS ARMADOS CON EL ECUADOR EN LOS AÑOS 1978, 1981 Y 1995",DESCONOCIDO,"['Arriola Tueros', 'José Alberto', 'Calle Lobatón', 'Digna', 'Paredes Castro', 'Francis Jhasmina']",6,OTROS,,2025-10-17,2025,10,Friday,E
12846/2025-CR,17/10/2025,"PROYECTO DE LEY QUE DECLARA EL 7 DE OCTUBRE DE CADA AÑO COMO EL ""DÍA NACIONAL DEL AUDITOR EN SALUD”",E,P,"Arriola Tueros, José Alberto, Calle Lobatón, Digna, Juárez Calle, Heidy Lisbeth ver más...",17/10/2025,12846/2025-CR,PROYECTO DE LEY QUE DECLARA EL 7 DE OCTUBRE DE CADA AÑO COMO EL DÍA NACIONAL DEL AUDITOR EN SALUD,DESCONOCIDO,"['Arriola Tueros', 'José Alberto', 'Calle Lobatón', 'Digna', 'Juárez Calle', 'Heidy Lisbeth']",6,SALUD,,2025-10-17,2025,10,Friday,E
12845/2025-CR,17/10/2025,PROYECTO DE LEY QUE DISPONE EL USO OBLIGATORIO DE EQUIPOS DE PROTECCIÓN INTEGRAL CORPORAL POR EL PERSONAL DE LA POLICÍA NACIONAL DEL PERÚ DURANTE EL DESEMPEÑO DEL SERVICIO ACTIVO,E,P,"Arriola Tueros, José Alberto, Calle Lobatón, Digna, Paredes Castro, Francis Jhasmina ver más...",17/10/2025,12845/2025-CR,PROYECTO DE LEY QUE DISPONE EL USO OBLIGATORIO DE EQUIPOS DE PROTECCIÓN INTEGRAL CORPORAL POR EL PERSONAL DE LA POLICÍA NACIONAL DEL PERÚ DURANTE EL DESEMPEÑO DEL SERVICIO ACTIVO,DESCONOCIDO,"['Arriola Tueros', 'José Alberto', 'Calle Lobatón', 'Digna', 'Paredes Castro', 'Francis Jhasmina']",6,SEGURIDAD,,2025-10-17,2025,10,Friday,E
